striker,non_striker,runs
BM Duckett,AN Cook,0
AN Cook,BM Duckett,41
AN Cook,JE Root,0
JE Root,AN Cook,22
JE Root,GS Ballance,0
GS Ballance,JE Root,4
MM Ali,JE Root,0
JE Root,MM Ali,13
MM Ali,BA Stokes,0
BA Stokes,MM Ali,32
MM Ali,JM Bairstow,87
JM Bairstow,MM Ali,0
CR Woakes,JM Bairstow,4
JM Bairstow,CR Woakes,0
AU Rashid,CR Woakes,2
CR Woakes,AU Rashid,0
AU Rashid,SCJ Broad,0
SCJ Broad,AU Rashid,30
SCJ Broad,GJ Batty,0
GJ Batty,SCJ Broad,1
BM Duckett,JE Root,0
JE Root,BM Duckett,16
BM Duckett,GS Ballance,0
GS Ballance,BM Duckett,0
GS Ballance,MM Ali,0
MM Ali,GS Ballance,34
BA Stokes,JM Bairstow,5
JM Bairstow,BA Stokes,0
BA Stokes,CR Woakes,7
CR Woakes,BA Stokes,0
CR Woakes,SCJ Broad,0
SCJ Broad,CR Woakes,18
CR Woakes,GJ Batty,0
GJ Batty,CR Woakes,3
JE Root,BA Stokes,0
BA Stokes,JE Root,34
JE Root,JM Bairstow,0
JM Bairstow,JE Root,48
JE Root,ZS Ansari,0
ZS Ansari,JE Root,13
CR Woakes,JE Root,58
JE Root,CR Woakes,0
AU Rashid,ST Finn,0
ST Finn,AU Rashid,0
AN Cook,GS Ballance,0
GS Ballance,AN Cook,6
AN Cook,MM Ali,0
MM Ali,AN Cook,9
BA Stokes,AN Cook,6
AN Cook,BA Stokes,0
CR Woakes,ZS Ansari,0
ZS Ansari,CR Woakes,0
ST Finn,CR Woakes,9
CR Woakes,ST Finn,0
KK Jennings,AN Cook,0
AN Cook,KK Jennings,44
KK Jennings,GS Ballance,0
GS Ballance,KK Jennings,0
MM Ali,LA Dawson,17
LA Dawson,MM Ali,0
MM Ali,SCJ Broad,0
SCJ Broad,MM Ali,0
SCJ Broad,MA Wood,9
MA Wood,SCJ Broad,0
JM Anderson,SCJ Broad,7
SCJ Broad,JM Anderson,0
LA Dawson,JM Bairstow,0
JM Bairstow,LA Dawson,1
SCJ Broad,JM Bairstow,0
JM Bairstow,SCJ Broad,0
JM Bairstow,MA Wood,42
MA Wood,JM Bairstow,0
JM Bairstow,JM Anderson,0
JM Anderson,JM Bairstow,4
LA Dawson,SCJ Broad,0
SCJ Broad,LA Dawson,19
LA Dawson,MA Wood,0
MA Wood,LA Dawson,0
MA Wood,JM Anderson,0
JM Anderson,MA Wood,0
AN Cook,JM Bairstow,11
JM Bairstow,AN Cook,0
BA Stokes,LA Dawson,0
LA Dawson,BA Stokes,3
LA Dawson,JM Anderson,0
JM Anderson,LA Dawson,0
AN Cook,T Westley,0
T Westley,AN Cook,4
AN Cook,DJ Malan,0
DJ Malan,AN Cook,6
