striker,non_striker,runs
D Elgar,SC Cook,0
SC Cook,D Elgar,10
D Elgar,HM Amla,0
HM Amla,D Elgar,0
D Elgar,JP Duminy,0
JP Duminy,D Elgar,24
F du Plessis,JP Duminy,20
JP Duminy,F du Plessis,0
F du Plessis,T Bavuma,0
T Bavuma,F du Plessis,0
Q de Kock,T Bavuma,0
T Bavuma,Q de Kock,11
Q de Kock,VD Philander,0
VD Philander,Q de Kock,0
Q de Kock,KA Maharaj,16
KA Maharaj,Q de Kock,0
K Rabada,Q de Kock,0
Q de Kock,K Rabada,0
DW Steyn,K Rabada,2
K Rabada,DW Steyn,0
D Elgar,F du Plessis,37
F du Plessis,D Elgar,0
F du Plessis,Q de Kock,20
Q de Kock,F du Plessis,0
VD Philander,KA Maharaj,0
KA Maharaj,VD Philander,38
SC Cook,HM Amla,0
HM Amla,SC Cook,48
HM Amla,JP Duminy,0
JP Duminy,HM Amla,155
HM Amla,F du Plessis,0
F du Plessis,HM Amla,16
HM Amla,T Bavuma,0
T Bavuma,HM Amla,0
T Bavuma,VD Philander,0
VD Philander,T Bavuma,14
VD Philander,KJ Abbott,0
KJ Abbott,VD Philander,3
VD Philander,K Rabada,8
K Rabada,VD Philander,0
SC Cook,JP Duminy,9
JP Duminy,SC Cook,0
SC Cook,F du Plessis,0
F du Plessis,SC Cook,44
F du Plessis,VD Philander,0
VD Philander,F du Plessis,8
KJ Abbott,F du Plessis,0
F du Plessis,KJ Abbott,36
K Rabada,F du Plessis,7
F du Plessis,K Rabada,0
F du Plessis,T Shamsi,0
T Shamsi,F du Plessis,18
SC Cook,T Bavuma,0
T Bavuma,SC Cook,21
SC Cook,KJ Abbott,0
KJ Abbott,SC Cook,0
SC Cook,Q de Kock,53
Q de Kock,SC Cook,0
SC Cook,VD Philander,0
VD Philander,SC Cook,17
K Rabada,SC Cook,0
SC Cook,K Rabada,8
SC Cook,T Shamsi,0
T Shamsi,SC Cook,0
T Bavuma,D Elgar,10
D Elgar,T Bavuma,0
VD Philander,M Morkel,0
M Morkel,VD Philander,7
D Elgar,K Rabada,0
K Rabada,D Elgar,6
K Rabada,HM Amla,0
HM Amla,K Rabada,31
TB de Bruyn,D Elgar,15
D Elgar,TB de Bruyn,0
K Rabada,M Morkel,0
M Morkel,K Rabada,1
HM Amla,TB de Bruyn,0
TB de Bruyn,HM Amla,21
HG Kuhn,D Elgar,0
D Elgar,HG Kuhn,5
JP Duminy,T Bavuma,0
T Bavuma,JP Duminy,0
T Bavuma,TB de Bruyn,8
TB de Bruyn,T Bavuma,0
T Bavuma,K Rabada,0
K Rabada,T Bavuma,2
Q de Kock,HM Amla,0
HM Amla,Q de Kock,0
TB de Bruyn,VD Philander,0
VD Philander,TB de Bruyn,4
HM Amla,HG Kuhn,32
HG Kuhn,HM Amla,0
VD Philander,CH Morris,0
CH Morris,VD Philander,36
CH Morris,KA Maharaj,0
KA Maharaj,CH Morris,0
CH Morris,M Morkel,0
M Morkel,CH Morris,4
D Olivier,M Morkel,4
M Morkel,D Olivier,0
T Bavuma,CH Morris,0
CH Morris,T Bavuma,69
T Bavuma,KA Maharaj,28
KA Maharaj,T Bavuma,0
T Bavuma,M Morkel,5
M Morkel,T Bavuma,0
D Elgar,Q de Kock,0
Q de Kock,D Elgar,60
D Elgar,VD Philander,7
VD Philander,D Elgar,0
D Elgar,CH Morris,0
CH Morris,D Elgar,24
KA Maharaj,D Elgar,3
D Elgar,KA Maharaj,0
KA Maharaj,K Rabada,0
K Rabada,KA Maharaj,8
M Morkel,KA Maharaj,0
KA Maharaj,M Morkel,7
HG Kuhn,T Bavuma,0
T Bavuma,HG Kuhn,27
TB de Bruyn,Q de Kock,0
Q de Kock,TB de Bruyn,8
F du Plessis,TB de Bruyn,6
TB de Bruyn,F du Plessis,0
KA Maharaj,F du Plessis,6
F du Plessis,KA Maharaj,0
KA Maharaj,D Olivier,0
D Olivier,KA Maharaj,0
AK Markram,D Elgar,0
D Elgar,AK Markram,2
AK Markram,HM Amla,0
HM Amla,AK Markram,11
AL Phehlukwayo,Q de Kock,4
Q de Kock,AL Phehlukwayo,0
AL Phehlukwayo,KA Maharaj,0
KA Maharaj,AL Phehlukwayo,5
AK Markram,AB de Villiers,0
AB de Villiers,AK Markram,53
AB de Villiers,F du Plessis,28
F du Plessis,AB de Villiers,0
AB de Villiers,TB de Bruyn,0
TB de Bruyn,AB de Villiers,1
AB de Villiers,Q de Kock,0
Q de Kock,AB de Villiers,46
AB de Villiers,VD Philander,26
VD Philander,AB de Villiers,0
AB de Villiers,KA Maharaj,0
KA Maharaj,AB de Villiers,15
AB de Villiers,K Rabada,0
K Rabada,AB de Villiers,0
AB de Villiers,M Morkel,0
M Morkel,AB de Villiers,7
AK Markram,F du Plessis,0
F du Plessis,AK Markram,13
AK Markram,TB de Bruyn,0
TB de Bruyn,AK Markram,10
AK Markram,Q de Kock,0
Q de Kock,AK Markram,0
M Morkel,Q de Kock,0
Q de Kock,M Morkel,0
D Elgar,AB de Villiers,11
AB de Villiers,D Elgar,0
AB de Villiers,L Ngidi,0
L Ngidi,AB de Villiers,5
AB de Villiers,HM Amla,0
HM Amla,AB de Villiers,16
D Elgar,M Morkel,0
M Morkel,D Elgar,0
AB de Villiers,T Bavuma,0
T Bavuma,AB de Villiers,15
DW Steyn,M Morkel,0
M Morkel,DW Steyn,2
AB de Villiers,DW Steyn,0
DW Steyn,AB de Villiers,6
F du Plessis,M Morkel,0
M Morkel,F du Plessis,4
M Morkel,L Ngidi,0
L Ngidi,M Morkel,0
HM Amla,VD Philander,0
VD Philander,HM Amla,9
VD Philander,AL Phehlukwayo,0
AL Phehlukwayo,VD Philander,0
AL Phehlukwayo,M Morkel,0
M Morkel,AL Phehlukwayo,9
D Elgar,AL Phehlukwayo,0
AL Phehlukwayo,D Elgar,0
D Elgar,L Ngidi,0
L Ngidi,D Elgar,4
AK Markram,T Bavuma,0
T Bavuma,AK Markram,0
AL Phehlukwayo,K Rabada,0
K Rabada,AL Phehlukwayo,1
T Shamsi,DW Steyn,0
DW Steyn,T Shamsi,3
VD Philander,DW Steyn,0
DW Steyn,VD Philander,6
VD Philander,T Shamsi,0
T Shamsi,VD Philander,2
K Rabada,L Ngidi,0
L Ngidi,K Rabada,0
TB de Bruyn,KA Maharaj,0
KA Maharaj,TB de Bruyn,0
TB de Bruyn,K Rabada,0
K Rabada,TB de Bruyn,12
DW Steyn,L Ngidi,0
L Ngidi,DW Steyn,4
T Bavuma,DW Steyn,0
DW Steyn,T Bavuma,2
Q de Kock,D Olivier,0
D Olivier,Q de Kock,0
DW Steyn,D Olivier,0
D Olivier,DW Steyn,0
TB de Bruyn,Zubayr Hamza,0
Zubayr Hamza,TB de Bruyn,40
Zubayr Hamza,T Bavuma,0
T Bavuma,Zubayr Hamza,32
Q de Kock,Zubayr Hamza,0
Zubayr Hamza,Q de Kock,0
Q de Kock,DW Steyn,21
DW Steyn,Q de Kock,0
HM Amla,Zubayr Hamza,0
Zubayr Hamza,HM Amla,0
KA Maharaj,DW Steyn,0
DW Steyn,KA Maharaj,0
Q de Kock,PWA Mulder,0
PWA Mulder,Q de Kock,9
F du Plessis,PWA Mulder,0
PWA Mulder,F du Plessis,5
F du Plessis,DW Steyn,0
DW Steyn,F du Plessis,13
F du Plessis,D Olivier,0
D Olivier,F du Plessis,6
AK Markram,Zubayr Hamza,0
Zubayr Hamza,AK Markram,12
Zubayr Hamza,F du Plessis,7
F du Plessis,Zubayr Hamza,0
HE van der Dussen,F du Plessis,0
F du Plessis,HE van der Dussen,35
Q de Kock,D Pretorius,0
D Pretorius,Q de Kock,39
VD Philander,A Nortje,0
A Nortje,VD Philander,4
D Elgar,Zubayr Hamza,0
Zubayr Hamza,D Elgar,0
A Nortje,HE van der Dussen,10
HE van der Dussen,A Nortje,0
A Nortje,Q de Kock,8
Q de Kock,A Nortje,0
PJ Malan,D Elgar,0
D Elgar,PJ Malan,31
D Elgar,HE van der Dussen,0
HE van der Dussen,D Elgar,38
Q de Kock,HE van der Dussen,1
HE van der Dussen,Q de Kock,0
HE van der Dussen,VD Philander,0
VD Philander,HE van der Dussen,6
D Pretorius,VD Philander,0
VD Philander,D Pretorius,7
Zubayr Hamza,PJ Malan,2
PJ Malan,Zubayr Hamza,0
PJ Malan,KA Maharaj,0
KA Maharaj,PJ Malan,2
PJ Malan,F du Plessis,0
F du Plessis,PJ Malan,12
PJ Malan,HE van der Dussen,0
HE van der Dussen,PJ Malan,1
D Elgar,A Nortje,0
A Nortje,D Elgar,0
F du Plessis,A Nortje,0
A Nortje,F du Plessis,0
K Rabada,D Paterson,0
D Paterson,K Rabada,0
KA Maharaj,A Nortje,0
A Nortje,KA Maharaj,0
KA Maharaj,D Paterson,0
D Paterson,KA Maharaj,39
Q de Kock,BE Hendricks,0
BE Hendricks,Q de Kock,1
D Paterson,BE Hendricks,0
BE Hendricks,D Paterson,4
A Nortje,BE Hendricks,0
BE Hendricks,A Nortje,4
D Paterson,A Nortje,0
A Nortje,D Paterson,0
D Elgar,DL Piedt,3
DL Piedt,D Elgar,0
S Muthusamy,Q de Kock,0
Q de Kock,S Muthusamy,23
S Muthusamy,VD Philander,0
VD Philander,S Muthusamy,4
S Muthusamy,KA Maharaj,0
KA Maharaj,S Muthusamy,9
K Rabada,S Muthusamy,0
S Muthusamy,K Rabada,27
AK Markram,S Muthusamy,0
S Muthusamy,AK Markram,5
S Muthusamy,DL Piedt,0
DL Piedt,S Muthusamy,56
TB de Bruyn,A Nortje,0
A Nortje,TB de Bruyn,5
S Muthusamy,F du Plessis,0
F du Plessis,S Muthusamy,4
T Bavuma,S Muthusamy,0
S Muthusamy,T Bavuma,9
T Bavuma,H Klaasen,0
H Klaasen,T Bavuma,0
H Klaasen,GF Linde,0
GF Linde,H Klaasen,11
GF Linde,DL Piedt,0
DL Piedt,GF Linde,13
GF Linde,K Rabada,0
K Rabada,GF Linde,0
A Nortje,GF Linde,0
GF Linde,A Nortje,26
A Nortje,L Ngidi,0
L Ngidi,A Nortje,0
D Elgar,H Klaasen,0
H Klaasen,D Elgar,0
TB de Bruyn,DL Piedt,0
DL Piedt,TB de Bruyn,14
ND McKenzie,GC Smith,4
GC Smith,ND McKenzie,0
ND McKenzie,HM Amla,44
HM Amla,ND McKenzie,0
JH Kallis,ND McKenzie,27
ND McKenzie,JH Kallis,0
AG Prince,ND McKenzie,5
ND McKenzie,AG Prince,0
AG Prince,AB de Villiers,0
AB de Villiers,AG Prince,5
MV Boucher,AG Prince,3
AG Prince,MV Boucher,0
AG Prince,M Morkel,0
M Morkel,AG Prince,20
PL Harris,AG Prince,7
AG Prince,PL Harris,0
AG Prince,DW Steyn,0
DW Steyn,AG Prince,0
DW Steyn,M Ntini,46
M Ntini,DW Steyn,0
HM Amla,JH Kallis,0
JH Kallis,HM Amla,5
HM Amla,AG Prince,0
AG Prince,HM Amla,6
GC Smith,HM Amla,0
HM Amla,GC Smith,6
MV Boucher,AB de Villiers,24
AB de Villiers,MV Boucher,0
AB de Villiers,PL Harris,15
PL Harris,AB de Villiers,0
PL Harris,DW Steyn,0
DW Steyn,PL Harris,0
ND McKenzie,PL Harris,0
PL Harris,ND McKenzie,19
AG Prince,JH Kallis,0
JH Kallis,AG Prince,45
M Morkel,MV Boucher,0
MV Boucher,M Morkel,2
A Nel,MV Boucher,0
MV Boucher,A Nel,5
M Ntini,MV Boucher,0
MV Boucher,M Ntini,0
JH Kallis,GC Smith,0
GC Smith,JH Kallis,21
GC Smith,AG Prince,5
AG Prince,GC Smith,0
GC Smith,AB de Villiers,0
AB de Villiers,GC Smith,164
GC Smith,MV Boucher,0
MV Boucher,GC Smith,1
M Morkel,PL Harris,0
PL Harris,M Morkel,1
PL Harris,A Nel,0
A Nel,PL Harris,4
PL Harris,M Ntini,10
M Ntini,PL Harris,0
AB de Villiers,A Nel,0
A Nel,AB de Villiers,0
A Nel,M Ntini,0
M Ntini,A Nel,2
A Nel,AG Prince,0
AG Prince,A Nel,13
HH Gibbs,GC Smith,0
GC Smith,HH Gibbs,26
AG Prince,J Botha,0
J Botha,AG Prince,7
J Botha,AB de Villiers,12
AB de Villiers,J Botha,0
J Botha,MV Boucher,0
MV Boucher,J Botha,10
MV Boucher,DW Steyn,0
DW Steyn,MV Boucher,0
JH Kallis,AB de Villiers,0
AB de Villiers,JH Kallis,74
MV Boucher,JH Kallis,55
JH Kallis,MV Boucher,0
RJ Peterson,JH Kallis,0
JH Kallis,RJ Peterson,0
MV Boucher,HM Amla,0
HM Amla,MV Boucher,2
AB de Villiers,ND McKenzie,20
ND McKenzie,AB de Villiers,0
ND McKenzie,MV Boucher,0
MV Boucher,ND McKenzie,11
MV Boucher,PL Harris,0
PL Harris,MV Boucher,0
AG Prince,M Ntini,3
M Ntini,AG Prince,0
AG Prince,M Zondeki,0
M Zondeki,AG Prince,0
AB de Villiers,JP Duminy,3
JP Duminy,AB de Villiers,0
AB de Villiers,M Ntini,0
M Ntini,AB de Villiers,1
JH Kallis,JP Duminy,29
JP Duminy,JH Kallis,0
MV Boucher,JP Duminy,0
JP Duminy,MV Boucher,25
PL Harris,JP Duminy,39
JP Duminy,PL Harris,0
M Morkel,JP Duminy,0
